title,company,summary,job_location,post_date,salary,availability
Sr. Security DevOps Engineer,Corning,Bachelor's degree; 4-6 years of experience as a systems developer -Additional years of relevant experience may be considered in lieu of Bachelor's degree.,"Charlotte, NC 28216 (Oakdale South area)+1 location",Posted27 days ago,None,None
"Manager, Software Engineer (Dev Ops)",KPMG,Experience evangelizing OpenShift and DevOps with development teams who may not be familiar with containers; deep knowledge of Kubernetes and Linux…,"Charlotte, NC 28202 (Fourth Ward area)",Posted30+ days ago,None,None
Data Scientist/Machine Learning Engineer - Sr. Associate,PRICE WATERHOUSE COOPERS,"Possesses considerable level of ability to work as a solutions architect, technical product manager, software engineer or frontend/backend web developer for…","Remote in Charlotte, NC 28202",Posted30+ days ago,None,None
"Manager, Site Reliability Engineering",Intelerad,"The SRE team is a blend of pragmatic operators and software craftspeople that apply sound engineering principles, operational discipline, and mature automation…","Remote in Charlotte, NC",Posted30+ days ago,None,Full-time
"Prof. Services Architect, DevOps & Observability",Splunk,"Ability to stop, collaborate and listen with technical and non-technical consumers from application developers to executive level partners.","Charlotte, NC",Posted30+ days ago,None,"$115,000 a year"
Senior Cloud Engineer,Ellucian,"Deliver support and automation in such a way as to focus on migrating Banner customers to Ellucian Managed Cloud.
Experience implementing CI/CD (e.g., Jenkins).","Remote in Charlotte, NC",Posted13 days ago,Estimated $118K - $149K a year,Full-time
Senior Mobile Developer - Tech Lead,PRICE WATERHOUSE COOPERS,"Working collaboratively with other developers, including participating in code reviews;
Our team helps organisations align their business and operational…","Remote in Charlotte, NC 28202",Posted30+ days ago,None,None
Senior DevOps Architect,"Amazon Web Services, Inc.","Bachelor Degree or 10+ years of professional or military experience.
8+ years of experience as a technical specialist.","Charlotte, NC",Posted30+ days ago,None,Full-time
Senior Application Engineer - Frontend Technologies,Vanguard,"Collaborate with product owners, UX designers, data analysts, scrum masters, and developers to develop a world-class user experience.","Charlotte, NC",Posted30+ days ago,None,None
Tax - DevOps - Senior - TTC,Deloitte,"You will be working directly with the Application Architect in evaluating new tools, technologies, and processes to improve speed, efficiency, and scalability…","Charlotte, NC 28202 (Downtown Charlotte area)",Posted30+ days ago,None,Full-time
AVP - AWS Developer,ZM Financial Systems,"Lead and provide technical leadership to architects, developers, engineers, and operators in geographically dispersed location.","Charlotte, NC",Posted30+ days ago,Estimated $107K - $136K a year,Full-time
Digital Products - Front End Developer - Sr Associate,PRICE WATERHOUSE COOPERS,A career in Products and Technology is an opportunity to bring PwC's strategy to life by driving products and technology into everything we deliver.,"Charlotte, NC 28202 (Fourth Ward area)+1 location",Posted8 days ago,None,None
Site Reliability Engineer,Advance Auto Parts,"We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age national origin,…","Charlotte, NC 28202 (Downtown Charlotte area)",Posted30 days ago,None,Full-time
Backend Data Engineer,Chingari,"5-7 years of strong design/development experience in building massively large scale, high throughput low latency distributed internet systems and products.","Remote in Charlotte, NC",Posted30+ days ago,Estimated $128K - $162K a year,None
US Tech - DevOps Lead,PRICE WATERHOUSE COOPERS,"A career in Information Technology, within Internal Firm Services, will provide you with the opportunity to support our core business functions by deploying…","Remote in Charlotte, NC 28202",Posted30+ days ago,None,None
Principal Backend Software Engineer - Siemens Comfy | Enligh...,Siemens,"Will considered Remote workers in one of Siemens' Hub Cities.
Building Robotics, Inc. (BRI) is a Siemens-owned business on a mission to connect employees to the…","Remote in Charlotte, NC",Posted30+ days ago,None,Full-time
"Machine Learning Engineer, Alexa AI - Conversational Experie...",Amazon.com Services LLC,"1+ years of experience contributing to the system design or architecture (architecture, design patterns, reliability and scaling) of new and current systems.","Charlotte, NC",Posted30+ days ago,None,Full-time
NIS - Senior Sailpoint Developer (Remote),PRICE WATERHOUSE COOPERS,"A career in Information Security, within Internal Firm Services, will provide you with the opportunity to develop and support our internal security technologies…","Remote in Charlotte, NC 28202",Posted30+ days ago,None,None
Senior Mobile Developer - Tech Lead,PRICE WATERHOUSE COOPERS,"Working collaboratively with other developers, including participating in code reviews;
A career in our Digital and Applications Design practice, within…","Remote in Charlotte, NC 28202",Posted30+ days ago,None,None
Tax - DevOps - Senior - TTC,Deloitte,The role of technology in tax functions has grown exponentially in importance as resource needs change and tax regulations become more rigorous.,"Charlotte, NC 28202 (Downtown Charlotte area)",Posted30+ days ago,None,Full-time
Sr. Security DevOps Engineer,Corning,Bachelor's degree; 4-6 years of experience as a systems developer -Additional years of relevant experience may be considered in lieu of Bachelor's degree.,"Charlotte, NC 28216 (Oakdale South area)+1 location",Posted27 days ago,None,None
Digital Products - Devops Manager,PRICE WATERHOUSE COOPERS,"Background as a developer a strong plus;
At PwC, we expect our DevOps engineers to work side-by-side with our software developers and solution architects to…","Remote in Charlotte, NC 28202+1 location",Posted30+ days ago,None,None
API Engineer,Ally Financial,"601 S. Tryon Street, Charlotte, NC.
Ally Financial only succeeds when its people do - and that’s more than some cliché people put on job postings.","Charlotte, NC 28202 (Downtown Charlotte area)+1 location",Posted30+ days ago,None,Full-time
Data Scientist/Machine Learning Engineer - Sr. Associate,PRICE WATERHOUSE COOPERS,"Possesses considerable level of ability to work as a solutions architect, technical product manager, software engineer or frontend/backend web developer for…","Remote in Charlotte, NC 28202",Posted30+ days ago,None,None
"Manager, DevOps",Sunbelt Rentals,"Sunbelt Rentals strives to be the customer's first choice in the equipment rental industry.
From pumps to scaffolding to general construction tools, we aim to…","Fort Mill, SC 29715",Posted30+ days ago,None,Full-time
Digital Products - Site Reliability Engineer (SRE - DBaaS),PRICE WATERHOUSE COOPERS,A career in Products and Technology is an opportunity to bring PwC's strategy to life by driving products and technology into everything we deliver.,"Remote in Charlotte, NC 28202",Posted30+ days ago,None,None
Engineering Manager - Software Operator Tech (Python/Kuberne...,Canonical - Jobs,"You have experience in leading, managing, coaching and mentoring software developers towards delivering timely, high quality software together with them.","Remote in Charlotte, NC+2 locations",Posted30+ days ago,Estimated $122K - $155K a year,None
"Sr. Associate, Cyber Security - Cloud, DevOps Engineer",KPMG,"Deliver leading practices for HashiCorp Vault/Terraform/Consul deployments and operations.
Work with clients and project teams to assess, design, implement, and…","Charlotte, NC 28202 (Fourth Ward area)",Posted30+ days ago,None,None
"newSenior Manager, Software Engineering",Carrier,"Ability to mentor junior software developers, as well as to collaborate with all stakeholders.
The selected individual should possess broad experience in the…","Charlotte, NC 28269",Posted5 days ago,None,Full-time
Member of Technical Staff - Test Engineering - Opportunity f...,VMware,To deliver on this mission we are looking for a Quality-focused Member of Technical Staff to drive key projects within our Production Engineering group.,"Remote in Charlotte, NC",Posted30+ days ago,None,Full-time
Senior Firmware Engineer,Sealed Air Corporation,We seek firmware developers to design innovative packaging equipment and user-oriented electrical controls using their unique creativity and extensive embedded…,"Charlotte, NC 28208 (Eagle Lake area)",Posted17 days ago,Estimated $107K - $136K a year,None
Sr. Cloud Site Reliability Engineer (SRE),The Standard,"We are seeking an experienced Cloud SRE that will partner with our cross-functional product delivery teams (that include data engineers, scientists, analysts,…","Remote in Charlotte, NC",Posted30+ days ago,None,Full-time
newPython Developer with Quartz,Pioneer IT Solutions,"Creative, quick-thinking and an aptitude for solving problems with technology.
Familiarity with using design and architectural patterns.","Charlotte, NC+1 location",Hiring ongoing,Estimated $116K - $147K a year,Full-time
Python Developer,MAMSYS CONSULTING SERVICES,"Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services.","Charlotte, NC+1 location",Posted20 days ago,None,"From $120,000 a year"
Python Developer,CapB InfoteK,"Integration of user-oriented elements into different applications, data storage solutions.
Developing Backend components to enhance performance and…","Charlotte, NC+1 location",Posted30+ days ago,Estimated $107K - $136K a year,None
Python Developer with Quartz,Okaya Corp,"Creative, quick-thinking and an aptitude for solving problems with technology.
Familiarity with using design and architectural patterns.","Charlotte, NC+1 location",Hiring ongoing,Estimated $116K - $147K a year,Full-time
Senior Customer Identity Solutions Specialist,Okta,"As a Solutions Engineer at Okta, you will build sales presentations, product demonstrations and educate customers at every level, from developers to product…","Remote in Charlotte, NC",Posted30+ days ago,None,"$193,000 a year"
JR LAMP Developer,Summaware LLC,"Candidate must have PHP and Python skills and a basic knowledge of Linux server environments.
The ideal candidate will have created complete PHP and/or Python…","Mooresville, NC 28117",EmployerActive 5 days ago,None,"$55,000 - $70,000 a year"
FULL STACK DEVELOPER,Quality Counts LLC,"3+ years’ experience in commercial software application development (react.js, node.js, python, HTML5).
Paid Time Off & Volunteer Time Off.","Charlotte, NC 28217 (Clanton Park-Roseland area)",Posted30+ days ago,None,"$100,000 - $120,000 a year"
Python Developer,Technodeed Inc,Acts in the highest-level technical role as an individual contributor and/or team lead for the most complex computer applications and/or application initiatives…,"Charlotte, NC",Posted30+ days ago,None,None
newComputer programmer/Coder,Haversack,"The Computer Programmer will develop computer software applications in a variety of coding languages such as Ubuntu (Linux) version : 20.04.2 LTS, Python…","Huntersville, NC 28078",Posted2 days ago,None,$32.00 - $37.50 an hour
newHadoop Developer,Pioneer IT Solutions,"Ability to dissect complex issues and leverage/coordinate platform resources to resolve technical issues.
Familiar developing within Hadoop platforms.","Charlotte, NC",Hiring ongoing,Estimated $107K - $135K a year,Full-time
"Java developers with Python , Spark, Horton Works / Hadoop",CapB InfoteK,"Standing up cutting-edge analytical capabilities, leveraging automation, cognitive and science-based techniques to manage data and models, and drive operational…","Charlotte, NC",Posted30+ days ago,Estimated $116K - $146K a year,None
Hadoop Developer,Okaya Corp,"Ability to dissect complex issues and leverage/coordinate platform resources to resolve technical issues.
Familiar developing within Hadoop platforms.","Charlotte, NC",Hiring ongoing,Estimated $107K - $135K a year,Full-time
React/C# Full Stack Developer (Remote),Recruiting From Scratch,Our client is seeking a full stack developer to add to their engineering team building their next-generation web portal for delivering and managing their…,"Remote in Charlotte, NC 28202+5 locations",Posted30+ days ago,None,"$150,000 - $175,000 a year"
Entry-Level Java FullStack developer,Quintrix Solutions Inc,"Java is the most widely used programming languages in today’s job market.
Once you qualify for the opportunity, you will undergo *12 weeks of pre-employment…","Charlotte, NC+1 location",EmployerActive 10 days ago,None,"$57,000 a year"
Sr.Net Developer,TEK-STAR CORPORATION,"Ensure systems are monitored to increase operational efficiency and managed to mitigate risk.
Design, develop, test and implement applications and system…","Charlotte, NC",EmployerActive 2 days ago,None,From $50 an hour
newEntry-Level Developer (Test Automation Developer),Quintrix,"Training & Placement Opportunity for Test Automation Developer*.
Test Automation Development is one of the fastest-growing and highly sought-after skill in…","Charlotte, NC",Posted3 days ago,None,"$57,000 a year"
Analytics Engineer (Looker),Launch Potato,"We need someone like you to lead efforts in maintaining and transforming enterprise data into actionable information.
Focus on data validation and accuracy.","Remote in Charlotte, NC",Posted30+ days ago,Estimated $114K - $144K a year,None
Hadoop Developer,Aevon Inc,"Ability to dissect complex issues and leverage/coordinate platform resources to resolve technical issues.
Familiar developing within Hadoop platforms.","Charlotte, NC",Hiring ongoing,Estimated $107K - $135K a year,Full-time
"Software Engineer - Backend (Remote, North Carolina)",BambooHR,"Write code for back end processes, RESTful public web APIs, and, of course, our industry-leading website.
Research technologies and engineer complete solutions…","Remote in Charlotte, NC 28105",Posted20 days ago,Estimated $96.7K - $122K a year,Full-time
"Sr. Python Developer - Charlotte, North Carolina",Projé General Job Board,"As a Sr. Python Developer, your role is to co-design, build, test, and implement software solutions.
You'll be involved, and collaborate in, with projects that…","Charlotte, NC",Posted30+ days ago,Estimated $115K - $146K a year,None
"Full-Stack Engineer (JavaScript, SQL, Python) 100% Remote -...",Dentsu Media,"“Applicants must be currently authorized to work in the U.S. on a full-time basis.
No sponsorship is available for this position or work transfers.”.","Remote in Charlotte, NC",Posted30+ days ago,Estimated $116K - $147K a year,Full-time
newSoftware Engineer II - Instant Match Team (full stack),Indeed,The Instant Match feature is utilized by the millions of employers that sponsor jobs and advertise their job postings on Indeed.,"Remote in Charlotte, NC+2 locations",Posted2 days ago,None,"$132,000 - $192,000 a year"
Jira Developer,Pace IT Solutions Inc,"Experience in scripting languages like Python/Groovy.
Experience in customizing JIRA projects with various issue types, schemas, complex workflows, screen…","Charlotte, NC",Hiring ongoing,Estimated $94.6K - $120K a year,Full-time
RoR Developer,NinjaHoldings,"Experience working with Frontend developers.
The Senior Software Engineer will be responsible for building new systems, enhancing and refactoring existing…","Charlotte, NC",Posted30+ days ago,Estimated $111K - $141K a year,Full-time
AWS DevOps Engineer w/ Python C128024_71.25,CapB InfoteK,"More than 5 years of experience including working for banking clients.
Experience of providing application support hosted on AWS infrastructure.","Charlotte, NC+1 location",Posted30+ days ago,Estimated $121K - $153K a year,None
Cloud Software Engineer,Yellowbrick Data,You will be part of the Cloud engineering team; whose job is to develop and deliver control plane software for providing Yellowbrick Data Warehouse services in…,"Remote in Charlotte, NC",Posted30+ days ago,Estimated $102K - $129K a year,None
newSoftware Engineer II - Instant Match Team (full stack),Indeed,The Instant Match feature is utilized by the millions of employers that sponsor jobs and advertise their job postings on Indeed.,"Remote in Charlotte, NC+2 locations",Posted2 days ago,None,"$132,000 - $192,000 a year"
DevOps Engineer,⠀RxDefine,"100% fully remote, internationally DISTRIBUTED team, but with frequent opportunities to collaborate in-person.
Family leave, up to 10 weeks of 100% paid salary.","Remote in Charlotte, NC",Posted16 days ago,Estimated $138K - $175K a year,None
Entry-Level React Web Application Engineer,Quintrix Solutions Inc,"/week) of pre-employment online training* that will be conducted during evenings and weekends.
Candidates selected for the training will be paid a *stipend of …","Charlotte, NC",EmployerActive 26 days ago,None,"$57,000 a year"
Software Engineer II,avidxchange,"This role requires experience in design, develop, collaboration, test, maintain and implement premier software.","Remote in Charlotte, NC 28206",Posted30 days ago,Estimated $94.9K - $120K a year,Full-time
newSr Software Engineer,Abacus Group LLC,"As a Sr Software Engineer, you will be responsible for the design, development, documentation, and maintenance of web applications and back-end services.","Charlotte, NC",Posted5 days ago,Estimated $95.5K - $121K a year,None
React/C# Full Stack Developer (Remote),Recruiting From Scratch,Our client is seeking a full stack developer to add to their engineering team building their next-generation web portal for delivering and managing their…,"Remote in Charlotte, NC 28202+5 locations",Posted30+ days ago,None,"$150,000 - $175,000 a year"
newSustaining Operations Engineer,Canonical - Jobs,This role deals with critical issues in the open source stack that require deep debugging and troubleshooting skills.,"Charlotte, NC",Posted4 days ago,Estimated $96.2K - $122K a year,None
Senior Full Stack Python (Django) Developer,Skilljar,"This person will be responsible for the technical design, development, and deployment of our products.
We're looking for someone with a successful track record…","Remote in Charlotte, NC",Posted17 days ago,Estimated $140K - $177K a year,None
Software Engineer (ERP) - Remote,Inspire Medical Systems I,"As a Software Engineer supporting our Quality, Finance and Operations teams for the Microsoft Dynamics Business Central application, you will work with a team…","Remote in Charlotte, NC",Posted30+ days ago,Estimated $97.1K - $123K a year,None
Site Reliability Engineer,NinjaHoldings,"This role could be treated as a software developer or DevOps role with a primary focus on troubleshooting and repairing production issues, incident response,…","Charlotte, NC",Posted30+ days ago,Estimated $105K - $133K a year,Full-time
"Full-Stack Engineer (JavaScript, SQL, Python) 100% Remote -...",Dentsu Media,"“Applicants must be currently authorized to work in the U.S. on a full-time basis.
No sponsorship is available for this position or work transfers.”.","Remote in Charlotte, NC",Posted30+ days ago,Estimated $116K - $147K a year,Full-time
Lead DevOps Engineer,Launch Potato,"Monitor existing infrastructure and recommend improvements based upon security, cost, and best practices.
Define and execute infrastructure migration plans.","Remote in Charlotte, NC",Posted10 days ago,Estimated $142K - $179K a year,None
Staff Cloud Software Developer in Test (SDET),Venafi,"To deliver on the responsibility of producing highly secure and robust software that protects machine identities at-scale, the team is looking for warriors that…","Remote in Charlotte, NC",Posted30+ days ago,Estimated $121K - $154K a year,None
Senior Full Stack Python (Django) Developer,Skilljar,"This person will be responsible for the technical design, development, and deployment of our products.
We're looking for someone with a successful track record…","Remote in Charlotte, NC",Posted17 days ago,Estimated $140K - $177K a year,None
Senior Developer (Remote),Signify Health,"We understand the benefits of a personalized approach to clinical encounters and the importance of conversation, understanding, and sitting knee-to-knee with…","Remote in Charlotte, NC",Posted30+ days ago,Estimated $126K - $159K a year,None
AWS DevOps Engineer w/ Python C128024_71.25,CapB InfoteK,"More than 5 years of experience including working for banking clients.
Experience of providing application support hosted on AWS infrastructure.","Charlotte, NC+1 location",Posted30+ days ago,Estimated $121K - $153K a year,None
Advanced Software QA Automation Engineer (Remote Role) - AE2...,"Evergreen Technologies, LLC.","Working on ways to automate and improve testing and quality for our UI, mobile and backend services.
Perform test execution, test analysis and all phases of…","Remote in Charlotte, NC",Posted19 days ago,Estimated $92.9K - $118K a year,None
Devops Engineer,Recruiting From Scratch,"Build and maintain their solutions for deployment and automation to ensure the highest quality delivery of their offering.
Everything starts with the customer.","Remote in Charlotte, NC 28202+2 locations",Posted30+ days ago,None,"$100,000 - $120,000 a year"
Solution Engineer- State and Local Government,"ESRI, Inc.","You will leverage your problem-solving skills to demonstrate the value of geoanalysis and how it finds unique patterns, trends, and understanding within a…","Charlotte, NC 28277 (Piper Glen Estates area)",Posted30+ days ago,Estimated $95.8K - $121K a year,Full-time
Lead DevOps Engineer,Launch Potato,"Monitor existing infrastructure and recommend improvements based upon security, cost, and best practices.
Define and execute infrastructure migration plans.","Remote in Charlotte, NC",Posted10 days ago,Estimated $142K - $179K a year,None
"Web Developer, Americas",Expeditors,"Previous work experience as an Web developer.
We are looking to hire an experienced JavaScript Developer developer to join our dynamic team.","Charlotte, NC 28208 (Eagle Lake area)",Posted10 days ago,None,Full-time
"Senior Software Engineer, Platform (Remote)",Freedom Financial Network,You will leverage machine learning and data to deliver intelligent decision-making services which will drive better customer experience.,"Remote in Charlotte, NC 28202",Posted30+ days ago,Estimated $137K - $173K a year,Full-time
Staff Cloud Software Developer in Test (SDET),Venafi,"To deliver on the responsibility of producing highly secure and robust software that protects machine identities at-scale, the team is looking for warriors that…","Remote in Charlotte, NC",Posted30+ days ago,Estimated $121K - $154K a year,None
Software Engineer II,avidxchange,"This role requires experience in design, develop, collaboration, test, maintain and implement premier software.","Remote in Charlotte, NC 28206",Posted30 days ago,Estimated $94.9K - $120K a year,Full-time
newPython Engineer at Education Startup,Recruiting From Scratch,Their formative assessment products turn data into practical instructional support to help students at every skill level build a strong foundation in early…,"Remote in Charlotte, NC 28202",Posted5 days ago,None,"$100,000 - $120,000 a year"
newSustaining Operations Engineer,Canonical - Jobs,This role deals with critical issues in the open source stack that require deep debugging and troubleshooting skills.,"Charlotte, NC",Posted4 days ago,Estimated $96.2K - $122K a year,None
Data Platform Cloud Engineer,Shutterfly,Shutterfly is seeking an experienced Data Platform Engineer with software engineering skills to join the Data Platform and Infrastructure team.,"Fort Mill, SC 29708",Posted30+ days ago,None,Full-time
Sr. Software Engineer II (Java/Python/AWS),Shutterfly,"Provide hands on coding approximately 80% of the time depending on the size of the project.
Document and develop in-depth knowledge of assigned domain…","Charlotte, NC 28217+3 locations",Posted30+ days ago,None,Full-time
Senior Mobile Engineer,Recruiting From Scratch,"As a member of our client's engineering team, you will focus on mobile applications, but you will also operate as a full-stack engineer and work across our…","Remote in Charlotte, NC 28202",Posted30+ days ago,None,"$100,000 - $200,000 a year"
Senior Software Developer (REMOTE),Cyware,Take initiative in improving the software in small or large ways to address pain points in your own experience as a developer.,"Remote in Charlotte, NC",Posted30+ days ago,Estimated $114K - $145K a year,None
Back-End Software Engineer (Ruby & JavaScript) 100% Remote,Dentsu Media,"“Applicants must be currently authorized to work in the U.S. on a full-time basis.
No sponsorship is available for this position or work transfers.”.","Remote in Charlotte, NC",Posted30+ days ago,Estimated $109K - $138K a year,Full-time
Senior C++ Programmer,CEDENT,"Terms of Hire: Full Time.
Lead the design, development and implementation of complex merchant services applications.","Charlotte, NC",Posted30+ days ago,Estimated $95K - $120K a year,Full-time
newSr Software Engineer,Abacus Group LLC,"As a Sr Software Engineer, you will be responsible for the design, development, documentation, and maintenance of web applications and back-end services.","Charlotte, NC",Posted5 days ago,Estimated $95.5K - $121K a year,None
Lead DevOps Engineer,Okaya Corp,"12+ years of Overall development experience.
4+ Years of Experience as Devops Engineer.
Code management best practices such as branching, merging, and…","Charlotte, NC",Hiring ongoing,Estimated $126K - $160K a year,Full-time
Site Reliability Engineer,NinjaHoldings,"This role could be treated as a software developer or DevOps role with a primary focus on troubleshooting and repairing production issues, incident response,…","Charlotte, NC",Posted30+ days ago,Estimated $105K - $133K a year,Full-time
Senior DevOps Architect,Brightspeed,Be a part of the team that will make this vision a reality….designing and building a world class fiber network and creating a customer experience second to none…,"Hybrid remote in Charlotte, NC 28203",Posted16 days ago,Estimated $126K - $160K a year,Full-time
Senior Software Engineer,Trader Interactive,"Work/life balance, including 30 paid days off in your first year.
The Senior Software Engineer is responsible for supporting the development of our digital…","Charlotte, NC 28202 (Downtown Charlotte area)",Posted30+ days ago,Estimated $94.6K - $120K a year,None
Frontend Engineer,Recruiting From Scratch,"You will work with a stellar team of passionate, experienced engineers, designers, and product managers who have been instrumental in building some of the most…","Remote in Charlotte, NC 28202",Posted30+ days ago,None,"$100,000 - $200,000 a year"
Senior Backend Engineer (Seed Stage Productivity Startup),Recruiting From Scratch,"Our client is looking for a Senior Backend Engineer to help them shape and deliver their vision.
You will work alongside the founders to define products, design…","Remote in Charlotte, NC 28202",Posted30+ days ago,None,"$130,000 - $210,000 a year"
"Site Reliability Engineer, Managed Service",SingleStore,"This requires a relentless focus on eliminating manual processes.
You will also leverage our monitoring platform to improve overall customer experience by…","Remote in Charlotte, NC",Posted30+ days ago,Estimated $116K - $147K a year,None
Senior Firmware Engineer,Recruiting From Scratch,"They are committed to lifelong learning, offering comprehensive skills training and tuition reimbursement.
Integrating and testing functional IP blocks against…","Remote in Charlotte, NC 28202+2 locations",Posted30+ days ago,None,"$125,000 - $175,000 a year"
"Lead Security (Cloud, SEC Dev Ops) Engineer",Circle,"Script in python using Amazon libraries such as boto3 to generate reusable utilities for environment configuration, control monitoring, audits, and assessment.","Remote in Charlotte, NC",Posted30+ days ago,Estimated $138K - $174K a year,None
"Senior Architect, Information Technology",CEDENT,"Position Purpose: Drive the vision and innovation, standards, development processes, systems architecture, and design patterns to support IT and business…","Charlotte, NC",Posted30+ days ago,None,"$116,000 - $165,000 a year"
Senior Mobile Engineer,Recruiting From Scratch,"As a member of our client's engineering team, you will focus on mobile applications, but you will also operate as a full-stack engineer and work across our…","Remote in Charlotte, NC 28202",Posted30+ days ago,None,"$100,000 - $200,000 a year"
Frontend Engineer,Recruiting From Scratch,"You will work with a stellar team of passionate, experienced engineers, designers, and product managers who have been instrumental in building some of the most…","Remote in Charlotte, NC 28202",Posted30+ days ago,None,"$100,000 - $200,000 a year"
Senior Firmware Engineer,Recruiting From Scratch,"They are committed to lifelong learning, offering comprehensive skills training and tuition reimbursement.
Integrating and testing functional IP blocks against…","Remote in Charlotte, NC 28202+2 locations",Posted30+ days ago,None,"$125,000 - $175,000 a year"
Senior Fullstack Software Engineer,Cloudbeds,"We create advanced cloud-based hospitality software for hotels, hostels, and hotel groups that manages reservations and guests, distributes room availability,…","Remote in Charlotte, NC 28105",Posted18 days ago,None,Full-time
Principal Back End Software Engineer - PHP + JAVA,Cloudbeds,"Support and mentor junior and senior developers in growing their knowledge and skillsets.
We create advanced cloud-based hospitality software for hotels,…","Remote in Charlotte, NC 28105",Posted24 days ago,None,Full-time
"Lead Security (Cloud, SEC Dev Ops) Engineer",Circle,"Script in python using Amazon libraries such as boto3 to generate reusable utilities for environment configuration, control monitoring, audits, and assessment.","Remote in Charlotte, NC",Posted30+ days ago,Estimated $138K - $174K a year,None
Senior Front-end Software Engineer - DIST,Cloudbeds,"We create advanced cloud-based hospitality software for hotels, hostels, and hotel groups that manages reservations and guests, distributes room availability,…","Remote in Charlotte, NC 28105",Posted30 days ago,None,Full-time
